Name;FIDE ID;Born;Died;Year;"Most recent
federation";M/F;Notes
Herraiz Hidalgo, Herminio;2205009;1978-10-30;;2009; Spain;M;title application
Herrera, Irisberto;3500373;1968-12-07;;1999; Spain;M;Di Felice
Hertneck, Gerald;4600088;1963-09-18;;1991; Germany;M;
Hesham, Abdelrahman;10600183;1992-02-12;;2016; Egypt;M;"Di Felice; winner 2016 African Individual Chess Championships"
Hess, Robert;2022036;1991-12-19;;2009; United States;M;title application
Hevia Alejano, Carlos Antonio;3508811;1991-10-30;;2015; Cuba;M;"Di Felice; title application"
Hickl, Jörg;4600118;1965-04-16;;1988; Germany;M;
Hillarp Persson, Tiger;1700812;1970-10-28;;1999; Sweden;M;
Himanshu, Sharma;5007836;1983-09-16;;2017; India;M;title application
Hjartarson, Jóhann;2300044;1963-02-08;;1985; Iceland;M;
Hoang Thanh Trang;12400149;1980-04-25;;2007; Hungary;F;title application
Hodgson, Julian;400076;1963-07-25;;1988; England;M;
Hoffman, Alejandro;100340;1966-10-26;;1998; Uruguay;M;
Hoffmann, Michael;4601297;1970-09-19;;2009; Germany;M;
Hoi, Carsten;1400100;1957-01-16;;2001; Denmark;M;
Holt, Conrad;2034387;1993-07-09;;2012; United States;M;title application
Holzke, Frank;4600428;1971-07-08;;2008; Germany;M;title application
Honfi, Károly;;1930-10-25;1996-08-14;1996; Hungary;M;"Di Felice; honorary"
Hort, Vlastimil;4600029;1944-01-12;;1965; Germany;M;Gaige
Horváth, Ádám;708003;1981-07-14;;2002; Hungary;M;
Horvath, Csaba;700118;1968-06-05;;1993; Hungary;M;
Horvath, Jozsef;700061;1964-08-13;;1990; Hungary;M;Di Felice
Horvath, Peter;700843;1972-06-17;;2006; Hungary;M;title application
Hossain, Enamul;10200649;1981-09-30;;2008; Bangladesh;M;title application
Hou Yifan;8602980;1994-02-27;;2008; China;F;title application
Hovhannisyan, Mher;13300865;1978-09-25;;2018; Belgium;M;title application
Hovhannisyan, Robert;13302507;1991-03-23;;2010; Armenia;M;title application
Howell, David;410608;1990-11-14;;2007; England;M;title application
Howell, James;400297;1967-05-17;;1995; England;M;
Hráček, Zbyněk;300071;1970-09-09;;1993; Czech Republic;M;Di Felice
Hubner, Robert;4600010;1948-11-06;;1971; Germany;M;Gaige
Hulak, Krunoslav;14500060;1951-05-25;2015-10-23;1976; Croatia;M;Di Felice
Hungaski, Robert Andrew;2021030;1987-12-08;;2013; United States;M;"Di Felice; title application"
Huschenbeth, Niclas;24604747;1992-02-29;;2012; Germany;M;title application
Huzman, Alexander;2803828;1962-04-10;;1991; Israel;M;
Ibarra Chami, Luis Fernando;5105048;1989-05-15;;2020; Mexico;M;title application
Ibarra Jerez, Jose Carlos;2226332;1985-08-07;;2013; Spain;M;"Di Felice; title application"
Ibraev, Nurlan;13700650;1977-02-25;;2005; Kazakhstan;M;title application
Ibragimov, Alibek;13700952;1968-08-12;;2002; Kazakhstan;M;Di Felice
Ibragimov, Ildar;4102878;1967-08-16;;1993; Russia;M;
Ibrahimov, Rasul;13400495;1981-08-13;;2005; Azerbaijan;M;title application
Idani, Pouya;12510130;1995-09-22;;2014; Iran;M;title application
Ikonnikov, Vyacheslav;4100972;1966-03-15;;1999; Russia;M;
Ilinčić, Zlatko;900346;1968-05-10;;1994; Serbia;M;
Iljin, Artem;4156021;1987-01-04;;2007; Russia;M;title application
Iljiushenok, Ilia;24105074;1993-08-16;;2018; Russia;M;title application
Iljushin, Alexei;4122178;1980-07-29;;2001; Russia;M;
Illescas, Miguel;2200015;1965-12-03;;1988; Spain;M;
Illingworth, Max;3205207;1992-11-05;;2016; Australia;M;title application
Inarkiev, Ernesto;4162722;1985-12-09;;2002; Russia;M;
Indjic, Aleksandar;911925;1995-08-24;;2013; Serbia;M;title application
Iniyan, P;25002767;2002-09-13;;2019; India;M;title application
Inkiov, Ventzislav;2900033;1956-05-19;;1982; Bulgaria;M;
Ionescu, Constantin;1200089;1958-09-12;;1998; Romania;M;
Ionov, Sergey;4100875;1962-01-07;;1996; Russia;M;
Iordăchescu, Viorel;13900200;1977-04-20;;1999; Moldova;M;
Iotov, Valentin;2906074;1988-09-06;;2008; Bulgaria;M;"Di Felice; title application"
Ipatov, Alexander;14116731;1993-07-16;;2011; Turkey;M;title application
Irzhanov, Ruslan;13700154;1976-11-27;;1997; Kazakhstan;M;
Iskandarov, Misratdin;13400312;1995-01-14;;2020; Azerbaijan;M;title application
Iskusnyh, Sergei;4120027;1974-09-05;;2000; Russia;M;
Ismagambetov, Anuar;13701525;1986-03-21;;2008; Kazakhstan;M;title application
Istrățescu, Andrei;1200372;1975-12-03;;1993; France;M;
Iturrizaga Bonelli, Eduardo;3901211;1989-11-01;;2008; Venezuela;M;"Di Felice; title application"
Iuldachev, Saidali;14200104;1968-01-31;;1996; Uzbekistan;M;Di Felice
Ivanchuk, Vasyl;14100010;1969-03-18;;1988; Ukraine;M;
Ivanišević, Ivan;912417;1977-11-23;;2000; Serbia;M;
Ivanov, Alexander;2000202;1956-05-01;;1991; United States;M;
Ivanov, Alexander Alexandrovich;4126360;1965-01-19;;2008; Russia;M;title application
Ivanov, Igor Vasilyevich;2000288;1947-01-08;2005-11-17;2005; Canada;M;Di Felice
Ivanov, Mikhail;4114906;1969-01-20;;1993; Russia;M;"Di Felice; d.o.b.[note 20]"
Ivanov, Sergey;4101375;1961-09-29;;1995; Russia;M;
Ivanović, Božidar;900095;1949-08-24;;1978; Montenegro;M;FIDE Golden Book
Ivic, Velimir;950122;2002-08-27;;2020; Serbia;M;title application
Ivkov, Borislav;900141;1933-11-12;;1955; Serbia;M;Gaige
Izeta Txabarri, Félix;2200260;1961-08-03;;1994; Spain;M;
Izmukhambetov, Salauat;13700545;1972;;1996; Kazakhstan;M;Di Felice
Izoria, Zviad;13601733;1984-01-06;;2002; United States;M;
Jacimović, Dragoljub;15000214;1964-01-10;;2001; North Macedonia;M;
Jacobson, Brandon;30901561;2003-11-14;;2020; United States;M;title application
Jakovenko, Dmitry;4122356;1983-06-28;;2001; Russia;M;
Jakubiec, Artur;1103261;1973-12-03;;2002; Poland;M;
Jakubowski, Krzysztof;1112848;1983-09-23;;2009; Poland;M;title application
Janev, Evgeni;2900360;1973-05-16;;2002; Bulgaria;M;
Janjgava, Lasha;13600087;1970-05-05;;1993; Georgia;M;
Janković, Alojzije;14505959;1983-04-02;;2006; Croatia;M;title application
Janošević, Dragljub;;1923-07-08;1993-05-20;1965; FR Yugoslavia;M;Di Felice
Janovsky, Sergey;4102711;1960-02-17;;1995; Russia;M;
Jansa, Vlastimil;300128;1942-11-27;;1974; Czech Republic;M;
Janssen, Ruud;1004816;1979-05-01;;2011; Netherlands;M;"Di Felice; title application"
Jaracz, Paweł;1102222;1975-07-22;;2000; Poland;M;
Jedynak, Radosław;1109243;1982-06-09;;2006; Poland;M;title application
Jenni, Florian;1304232;1980-03-24;;2002;  Switzerland;M;
Jeremic, Veljko;927040;1985-11-09;;2004; Serbia;M;title application
Jha, Sriram;5001668;1976-07-18;;2010; India;M;title application
Jianu, Vlad-Cristian;1208110;1984-09-27;;2007; Romania;M;title application
Jirovský, Miloš;303224;1974-03-17;;2003; Czech Republic;M;
Jobava, Baadur;13601520;1983-11-26;;2001; Georgia;M;
Johannessen, Leif Erlend;1501674;1980-04-14;;2002; Norway;M;Di Felice
Johansen, Darryl;3200035;1959-02-04;;1995; Australia;M;
Jojua, Davit;13602543;1989-06-08;;2009; Georgia;M;title application
Jones, Gawain;409561;1987-12-11;;2007; England;M;title application
Jonkman, Harmen;1002708;1975-05-30;;2002; Netherlands;M;
Jovanić, Ognjen;14504081;1978-05-04;;2007; Croatia;M;title application
Jovanović, Zoran;14505320;1979-06-07;;2006; Croatia;M;
Ju Wenjun;8603006;1991-01-31;;2014; China;F;title application
Jumabayev, Rinat;13702661;1989-07-23;;2009; Kazakhstan;M;"Di Felice; title application"
Jurcik, Marian;14907518;1987-01-27;;2017; Slovakia;M;title application
Kabanov, Nikolai;4127820;1980-01-22;;2009; Russia;M;title application
Kacheishvili, Giorgi;13600613;1977-02-10;;1997; Georgia;M;
Kadrić, Denis;14403803;1995-06-12;;2015; Bosnia and Herzegovina;M;title application
Kaidanov, Gregory;2008564;1959-10-11;;1988; United States;M;
Kalinin, Alexander;4112423;1968-05-26;;2001; Russia;M;
Kalinitschew, Sergey;4637321;1956-02-03;;1997; Germany;M;
Kállai, Gábor;700282;1959-02-21;;1995; Hungary;M;
Kallio, Heikki;501778;1980-10-15;;2001; Finland;M;
Kalod, Radek;305421;1978-08-08;;2004; Czech Republic;M;"Di Felice; title application"
Kalugin, Sergey;4128567;1970-10-03;;2000; Russia;M;
Kamiński, Marcin;1100696;1977-03-10;;1996; Poland;M;
Kamsky, Gata;2000024;1974-06-02;;1990; United States;M;
Kanarek, Marcel;1126822;1993-02-05;;2016; Poland;M;title application
Kanep, Meelis;4501047;1983-05-27;;2006; Estonia;M;
Kantāns, Toms;11602945;1994-01-16;;2017; Latvia;M;title application
Kantor, Gergely;751499;1999-07-19;;2019; Hungary;M;title application
Kantsler, Boris;2805359;1962-04-16;;1999; Israel;M;
Kapnisis, Spyridon;4203445;1981-05-11;;2011; Greece;M;title application
Karjakin, Sergey;14109603;1990-01-12;;2003; Russia;M;
Karlsson, Lars;1700057;1955-07-11;;1982; Sweden;M;
Karpatchev, Aleksandr;4117182;1967-05-25;;1997; Russia;M;
Karpov, Anatoly;4100026;1951-05-23;;1970; Russia;M;Gaige
Karthik Venkataraman;25006479;1999-12-22;;2018; India;M;title application
Karthikeyan Murali;5074452;1999-01-05;;2015; India;M;title application
Karthikeyan, P.;5018226;1990-06-14;;2019; India;M;title application
Kashdan, Isaac;;1905-11-19;1985-02-20;1954; United States;M;Gaige
Kasimdzhanov, Rustam;14200244;1979-12-05;;1997; Uzbekistan;M;
Kasparov, Garry;4100018;1963-04-13;;1980; Russia;M;
Kasparov, Sergey;13500481;1968-08-08;;2007; Belarus;M;title application
Kaufman, Lawrence;2000555;1947-11-15;;2008; United States;M;
Kavalek, Lubomir;2000121;1943-08-09;;1965; United States;M;Gaige
Kayumov, Dmitry;14200090;1949-02-28;;2003; Uzbekistan;M;title application
Kayumov, Sergey;14200880;1981-08-08;;2010; Uzbekistan;M;title application
Kazhgaleyev, Murtas;13700316;1973-11-17;;1998; Kazakhstan;M;
Keene, Raymond;400211;1948-01-29;;1976; England;M;
Keitlinghaus, Ludger;4600479;1965-07-24;;1998; Germany;M;
Kekelidze, Mikheil;13600818;1974-09-14;;2000; Georgia;M;
Kelires, Andreas;5900727;1999-07-01;;2016; Greece;M;title application
Keymer, Vincent;12940690;2004-11-15;;2020; Germany;M;title application
Kempiński, Robert;1105663;1977-07-11;;1996; Poland;M;
Ķeņģis, Edvīns;11600039;1959-04-12;;1991; Latvia;M;
Keres, Paul;;1916-01-07;1975-06-05;1950; Soviet Union;M;Gaige
Khachiyan, Melikset;13300512;1970-07-06;;2006; United States;M;
Khairullin, Ildar;4151348;1990-08-22;;2007; Russia;M;title application
Khalifman, Alexander;4100115;1966-01-18;;1990; Russia;M;
Khamrakulov, Djurabek;14201143;1988-07-12;;2018; Uzbekistan;M;title application
Khamrakulov, Ibragim;14200295;1982-07-28;;2006; Spain;M;
Kharchenko, Boris;14113210;1991-07-15;;2013; Ukraine;M;"Di Felice; title application"
Kharitonov, Alexandr;4135202;1986-11-08;;2006; Russia;M;title application
Kharitonov, Andrei;4100948;1959-04-04;2012-01-13;1993; Russia;M;Di Felice
Kharlov, Andrei;4102185;1968-11-20;2014-06-15;1992; Russia;M;Di Felice
Khasin, Alexander;4101189;1951-04-29;2016-12-31;1996; Russia;M;FIDE
Khatanbaatar, Bazar;4900332;1973-02-25;;1999; Mongolia;M;Di Felice
Khegay, Dmitriy;24153729;1997-07-21;;2020; Russia;M;title application
Khenkin, Igor;4659600;1968-03-21;;1992; Germany;M;
Khismatullin, Denis;4142578;1984-12-28;;2004; Russia;M;
Khmelniker, Ilya;2805340;1985-09-21;;2011; Israel;M;title application
Kholmov, Ratmir;4101090;1925-05-13;2006-02-18;1960; Russia;M;Di Felice
Khotenashvili, Bela;13602640;1988-06-01;;2013; Georgia;F;title application
Khruschiov, Alexey;13900544;1982-03-12;;2007; Moldova;M;title application
Khusnutdinov, Rustam;13701703;1987-07-11;;2009; Kazakhstan;M;"Di Felice; title application"
Kim, Alexey;4129776;1986-04-05;;2004; South Korea;M;
Kindermann, Stefan;4600053;1959-12-28;;1988; Austria;M;
King, Daniel J.;400068;1963-08-28;;1989; England;M;
Kiriakov, Petr;4119231;1975-01-11;;1998; Russia;M;
Kirov, Nino;2900076;1945-09-09;2008-09-25;1975; Bulgaria;M;"Di Felice; d.o.b.[note 21]"
Kiselev, Vitaliy;4194128;1988-06-16;;2007; Russia;M;title application
Kishnev, Sergey;4100751;1956-11-01;;1996; Russia;M;
Kislinsky, Alexey;14108801;1984-06-10;;2008; Czech Republic;M;title application
Klarić, Zlatko;14500248;1956-10-24;;1983; Croatia;M;
Klein, David;1003623;1993-12-20;;2014; Netherlands;M;title application
Klekowski, Maciej;1132717;1992-09-05;;2020; Poland;M;title application
Klimov, Sergey;4121759;1979-01-22;;2009; Russia;M;title application
Klinger, Josef;1600010;1967-06-06;;1988; Austria;M;
Klovāns, Jānis;11600128;1935-04-09;2010-10-05;1997; Latvia;M;Di Felice
Knaak, Rainer;4611250;1953-03-16;;1975; Germany;M;
Knĕzević, Milorad;900494;1936-10-31;2005-03-31;1976; Serbia and Montenegro;M;Di Felice
Kobalia, Mikhail;4119150;1978-05-03;;1996; Russia;M;Di Felice
Kobo, Ori;2812320;1997-04-24;;2017; Israel;M;title application
Kochyev, Alexander;4100719;1956-03-25;;1977; Russia;M;
Kogan, Artur;2800802;1974-01-29;;1998; Israel;M;
Kokarev, Dmitry;4132181;1982-02-18;;2007; Russia;M;title application
Kolev, Atanas;2900130;1967-07-15;;1993; Bulgaria;M;
Kollars, Dmitrij;12909572;1999-08-13;;2017; Germany;M;title application
Koltanowski, George;;1903-09-17;2000-02-05;1988; United States;M;"Di Felice; honorary"
Komarov, Dimitri;14101270;1968-12-01;;1994; Ukraine;M;Di Felice
Komliakov, Viktor;13900030;1960-04-25;;1995; Moldova;M;
Komljenović, Davorin;14500132;1944-07-01;;1995; Croatia;M;
Koneru, Humpy;5008123;1987-03-31;;2002; India;F;
Koniushkov, Igor;4121376;1962-11-29;;1998; Russia;M;
Kononenko, Dmitry;14113007;1988-08-23;;2007; Ukraine;M;title application
Konovalov, Nikolay;4170962;1989-08-07;;2017; Russia;M;title application
Konstantinopolsky, Alexander;;1910-02-19;1990-09-21;1983; Soviet Union;M;"Di Felice; honorary"
Korchnoi, Viktor;1300016;1931-03-23;2016-06-06;1956;  Switzerland;M;Gaige
Kore, Akshayraj;5012414;1988-09-01;;2013; India;M;title application
Korneev, Oleg;4156803;1969-07-25;;1995; Spain;M;
Kornev, Alexei;4120949;1976-12-20;;2004; Russia;M;
Korobov, Anton;14105730;1985-06-25;;2003; Ukraine;M;
Korotylev, Alexey;4119142;1977-03-01;;2000; Russia;M;
Korpa, Bence;706671;1998-01-12;;2017; Hungary;M;title application
Kosanović, Goran;901466;1962-03-16;;1998; Serbia;M;
Kosashvili, Yona;2800080;1970-07-03;;1994; Israel;M;
Kosic, Dragan;900290;1970-02-15;;1995; Montenegro;M;
Kosintseva, Nadezhda;4134974;1985-01-14;;2011; Russia;F;title application
Kosintseva, Tatiana;4133471;1986-04-11;;2009; Russia;F;title application
Kosten, Anthony;400114;1958-07-24;;1990; France;M;Di Felice
Kosteniuk, Alexandra;4128125;1984-04-23;;2004; Russia;F;
Kostenko, Petr;13700669;1976-02-16;;2006; Kazakhstan;M;
Kostić, Boris;;1887-02-24;1963-11-03;1950; Yugoslavia;M;Gaige
Kostić, Vladimir;901482;1953-08-20;;2005; Serbia;M;title application
Kosyrev, Vladimir;4122259;1980-11-07;;2001; Russia;M;
Kotanjian, Tigran;13301250;1981-09-01;;2006; Armenia;M;
Kotov, Alexander;;1913-08-12;1981-01-08;1950; Soviet Union;M;Gaige
Kotronias, Vasilios;5900212;1964-08-25;;1990; Greece;M;
Kotsur, Pavel;13700278;1974-01-03;;1996; Kazakhstan;M;
Kouatly, Bachar;600032;1958-03-03;;1989; France;M;
Kovačević, Aleksandar;903124;1974-02-11;;2000; Serbia;M;
Kovacevic, Blazimir;14502712;1975-10-16;;2018; Croatia;M;title application
Kovacevic, Vlatko;14500078;1942-03-26;;1976; Croatia;M;
Kovalenko, Igor;14117908;1988-12-29;;2011; Latvia;M;title application
Kovalev, Andrei;13500023;1961-11-07;;1992; Belarus;M;
Kovalev, Vladislav;13504398;1994-01-06;;2013; Belarus;M;title application
Kovalyov, Anton;114987;1992-03-04;;2008; Canada;M;title application
Kovchan, Alexander;14103052;1983-10-21;;2002; Ukraine;M;
Kozak, Adam;753246;2002-06-15;;2020; Hungary;M;title application
Kazakov, Mikhail;14102749;1972-05-28;;2001; Ukraine;M;Di Felice
Kožul, Zdenko;14502879;1966-05-21;;1989; Croatia;M;
Kraai, Jesse;2002035;1972-05-06;;2007; United States;M;"Di Felice; title application"
Kraidman, Yair;2800187;1932-11-01;;1976; Israel;M;
Krakops, Māris;11600462;1978-04-03;;1998; Latvia;M;
Krämer, Martin;4671910;1987-12-23;;2012; Germany;M;title application
Kramnik, Vladimir;4101588;1975-06-25;;1992; Russia;M;
Krapivin, Alexander;4154720;1987-07-23;;2007; Russia;M;title application
Krasenkow, Michał;1113100;1963-11-14;;1989; Poland;M;
Kravtsiv, Martyn;14113147;1990-11-26;;2009; Ukraine;M;title application
Kreiman, Boris;2007770;1976-06-07;;2004; United States;M;
Krejčí, Jan;322156;1992-09-27;;2011; Czech Republic;M;title application
Kristiansen, Jens;1400061;1952-05-25;;2012; Denmark;M;winner 22nd World Senior Chess Championships
Kristjánsson, Stefán;2301172;1982-12-08;2018-02-28;2011; Iceland;M;"FIDE; title application[note 22]"
Kritz, Leonid;4653530;1984-02-26;;2003; Germany;M;
Krivoborodov, Egor;4155890;1989-12-24;;2011; Russia;M;title application
Krivoshey, Sergei;14102226;1971-05-23;;2006; Ukraine;M;
Krogius, Nikolai;4100565;1930-07-22;;1964; Russia;M;Gaige
Kruppa, Yuri;14100142;1964-06-21;;1995; Ukraine;M;
Krush, Irina;2012782;1983-12-24;;2013; United States;F;title application
Kryakvin, Dmitry;4153278;1984-04-10;;2009; Russia;M;title application
Krylov, Mikhail;4151364;1987-06-14;;2012; Russia;M;title application
Krysa, Leandro;116807;1992-11-07;;2017; Argentina;M;title application
Kryvoruchko, Yuriy;14109182;1986-12-19;;2006; Ukraine;M;title application
Krzyzanowski, Marcin;1132199;1994-01-11;;2020; Poland;M;title application
Kuczyński, Robert;1100033;1966-04-17;;1993; Poland;M;
Kudrin, Sergey;2000164;1959-09-07;;1984; United States;M;
Kulaots, Kaido;4500261;1976-02-28;;2001; Estonia;M;
Kuligowski, Adam;1100092;1955-12-24;;1980; Poland;M;
Kuljasevic, Davorin;14506661;1986-10-22;;2010; Croatia;M;title application
Kumaran, Dharshan;401978;1975-06-07;;1997; England;M;
Kunin, Vitaly;4128737;1983-10-02;;2006; Germany;M;
Kunte, Abhijit;5002265;1977-03-03;;2000; India;M;
Kupreichik, Viktor;13500066;1949-07-03;2017-05-22;1980; Belarus;M;FIDE
Kurajica, Bojan;14400057;1947-11-15;;1974; Croatia;M;
Kurnosov, Igor;4142527;1985-05-30;2013-08-08;2003; Russia;M;Di Felice
Kutirov, Rolando;15000010;1962-01-23;;1996; North Macedonia;M;
Kuybokarov, Temur;14203049;2000-07-22;;2019; Australia;M;title application
Kuzmin, Alexey;4100794;1963-03-08;;1995; Russia;M;
Kuzmin, Gennady;14100070;1946-01-19;2020-02-28;1973; Ukraine;M;
Kuzubov, Yuriy;14112906;1990-01-26;;2005; Ukraine;M;title application
Kveinys, Aloyzas;12800040;1962-07-09;2018-07-26;1992; Lithuania;M;FIDE
Kvon, Andrey;14201356;1989-04-16;;2018; Uzbekistan;M;title application
Ladva, Ottomar;4500024;1997-06-17;;2016; Estonia;M;title application
Lafuente, Pablo;108820;1985-02-20;;2008; Argentina;M;title application
Lagarde, Maxime;662399;1994-03-16;;2013; France;M;title application
Lagno, Kateryna;14109336;1989-12-27;;2007; Russia;F;title application
Lajthajm, Borko;916358;1976-04-16;;2007; Serbia;M;title application
Lalić, Bogdan;409081;1964-03-08;;1988; Croatia;M;
Lalith, Babu M.R.;5024595;1993-01-05;;2012; India;M;title application
L'Ami, Erwin;1007998;1985-04-05;;2005; Netherlands;M;title application
Landa, Konstantin;4101685;1972-05-22;;1995; Russia;M;
Lanka, Zigurds;11600047;1960-05-21;;1992; Latvia;M;
Larino Nieto, David;2256444;1989-05-22;;2013; Spain;M;title application
Larsen, Bent;1400029;1935-03-04;2010-09-09;1956; Denmark;M;Di Felice
Lastin, Alexander;4119240;1976-10-30;2015-01-23;1997; Russia;M;Di Felice
Lau, Ralf;4600134;1959-10-19;;1986; Germany;M;
Lautier, Joël;600016;1973-04-12;;1990; France;M;
Laxman, R. R.;5005361;1983-02-05;;2009; India;M;title application
Laylo, Darwin;5201330;1980-06-01;;2007; Philippines;M;Di Felice
Lazarev, Vladimir;4113250;1964-06-05;;2000; France;M;
Lazic, Miroljub;900788;1966-06-28;;1995; Serbia;M;
Laznicka, Victor;316385;1988-01-09;;2006; Czech Republic;M;
Le Roux, Jean-Pierre;609404;1982-05-18;;2010; France;M;title application[note 23]
Lechtýnský, Jiří;300217;1947-11-25;;1982; Czech Republic;M;
Legky, Nikolay;14100312;1955-04-11;;1994; France;M;
Lehmann, Heinz;;1921-10-20;1995-06-08;1992; Germany;M;"Di Felice; honorary"
Lei Tingjie;8605114;1997-03-03;;2017; China;F;title application[note 24]
Lein, Anatoly;2000270;1931-03-28;2018-03-01;1968; United States;M;Gaige
Leitão, Rafael;2101246;1979-12-28;;1998; Brazil;M;Di Felice
Leko, Peter;703303;1979-09-08;;1994; Hungary;M;
Lemos, Damián;113581;1990-04-02;;2009; Argentina;M;title application
Lenderman, Aleksandr;2021285;1989-09-23;;2010; United States;M;"title application; title application"
Lengyel, Levente;700541;1933-06-13;2014-08-18;1964; Hungary;M;Di Felice
Lenič, Luka;14603853;1988-05-13;;2007; Slovenia;M;"Di Felice[note 25]; title application"
Leon Hoyos, Manuel;5105269;1989-02-10;;2008; Mexico;M;title application
Lerner, Konstantin;14100061;1950-02-28;2011-09-24;1986; Ukraine;M;Di Felice
Lesiège, Alexandre;2600170;1975-08-18;;1998; Canada;M;
Lev, Ronen;2800063;1968-09-22;;1994; Israel;M;
Levenfish, Grigory;;1889-03-21;1961-02-09;1950; Soviet Union;M;"Gaige; born 21 Mar [O.S. 9 Mar]"
Leventić, Ivan;14500442;1970-09-21;;2005; Croatia;M;title application
Levin, Evgeny A.;4182596;1990-06-26;;2010; Russia;M;title application
Levin, Felix;4650905;1958-11-05;;1998; Germany;M;
Levitt, Jonathan;400220;1963-06-03;;1994; England;M;
Li Chao;8604436;1989-04-21;;2007; China;M;title application
Li, Di;8607508;1999-12-15;;2019; China;M;title application
Li Ruifeng;2061074;2001-09-14;;2017; United States;M;title application
Li Shilong;8600678;1977-08-10;;2002; China;M;
Liang Chong;8600899;1980-01-29;;2004; China;M;
Liang Jinrong;8600066;1960-05-21;;1998; China;M;
Liang, Awonder;2056437;2003-04-09;;2017; United States;M;title application
Liberzon, Vladimir;;1937-03-23;1996-08-04;1965; Israel;M;Di Felice[note 26]
Libiszewski, Fabien;616834;1984-01-05;;2009; France;M;title application
Lie, Kjetil Aleksander;1501984;1980-11-18;;2005; Norway;M;title application
Likavsky, Tomas;14900483;1971-07-28;;2005; Slovakia;M;title application
Lilienthal, Andor;700436;1911-05-05;2010-05-08;1950; Hungary;M;Di Felice
Lima, Darcy;2100045;1962-05-22;;2000; Brazil;M;
Lin Chen;8602298;1988-09-14;;2016; China;M;"Di Felice; title application"
Lintchevski, Daniil;4171055;1990-05-17;;2009; Russia;M;title application
Liss, Eran;2800721;1975-07-02;;1995; Israel;M;
Liu Qingnan;8603294;1992-05-23;;2015; China;M;title application
Ljubojević, Ljubomir;900010;1950-11-02;;1971; Serbia;M;
Llanes Hurtado, Miguel;2206706;1978-10-05;;2008; Spain;M;title application
Lobron, Eric;4600037;1960-05-07;;1982; Germany;M;
Loginov, Valery;4126297;1955-12-13;;1991; Uzbekistan;M;
Lombardy, William;2000415;1937-12-04;2017-10-13;1960; United States;M;Gaige
Lomsadze, Davit;13603450;1991-02-12;;2016; Georgia;M;title application
Lopez Martinez, Josep Manuel;2212943;1980-04-24;;2007; Spain;M;title application
Lopushnoy, Denis;4123395;1977-01-30;;2000; Russia;M;
Lorenzini, Martin;105570;1975-09-26;;2014; Argentina;M;title application
Lorparizangeneh, Shahin;12521604;1999-01-16;;2017; Iran;M;title application[note 27]
Lputian, Smbat;13300024;1958-02-14;;1984; Armenia;M;
Lu Shanglei;8603332;1995-07-10;;2011; China;M;title application
Lugovoi, Aleksei;4116194;1975-03-05;;1998; Russia;M;
Lugovskoy, Maxim;24126454;1996-08-14;;2017; Russia;M;title application
Liu, Yan;8608962;2000-03-29;;2018; China;M;title application
Lukacs, Peter;700142;1950-07-09;;1986; Hungary;M;
Lukov, Valentin;2900157;1955-12-11;;1988; Bulgaria;M;
Lundin, Erik;;1904-07-02;1988-12-05;1983; Sweden;M;"Di Felice; honorary"
Lunev, Andrey;4120957;1969-01-21;;2001; Russia;M;
Lupu, Mircea-Sergiu;621501;1962-08-28;;1995; France;M;
Lupulescu, Constantin;1207822;1984-03-25;;2006; Romania;M;
Luther, Thomas;4611420;1969-11-04;;1994; Germany;M;
Lutikov, Anatoly;;1933-02-05;1989-10-15;1974; Soviet Union;M;Di Felice
Lutsko, Igor;13500716;1962-04-06;;2004; Belarus;M;
Lutz, Christopher;4600193;1971-02-24;;1992; Germany;M;
Ly, Moulthun;3204405;1991-11-20;;2016; Australia;M;title application
Lysyj, Igor;4150120;1987-01-01;;2007; Russia;M;title application
Lê Quang Liêm;12401137;1991-03-13;;2006; Vietnam;M;title application
Ma Qun;8603154;1991-11-09;;2013; China;M;"Di Felice; title application"
Machulsky, Anatoly;4100417;1956-09-24;2017-02-17;1991; Russia;M;FIDE
Macieja, Bartłomiej;1104306;1977-10-04;;1998; Poland;M;Di Felice
Magem Badals, Jordi;2200074;1967-08-24;;1994; Spain;M;
Magerramov, Elmar;13400142;1958-04-10;;1990; Azerbaijan;M;
Magesh Chandran Panchanathan;5007429;1983-08-10;;2006; India;M;
Maghalashvili, Davit;13602276;1987-06-27;;2014; Georgia;M;title application
Maghsoodloo, Parham;12539929;2000-08-12;;2016; Iran;M;"Di Felice; title application"
Magomedov, Magaram;4156757;1966-05-20;;1998; Russia;M;
Mahjoob Zardast, Morteza;12500798;1980-03-20;;2007; Iran;M;"Di Felice[note 28]; title application"
Mainka, Romuald;4600258;1963-05-15;;1993; Germany;M;
Maiorov, Nikita;13501720;1985-04-19;;2007; Belarus;M;title application
Maiorov, Oleg;4119916;1971-07-21;;1999; Russia;M;
Maiwald, Jens-Uwe;4612396;1974-05-06;;1999; Germany;M;
Makarichev, Sergei;4100468;1953-11-17;;1976; Russia;M;
Makarov, Marat;4101103;1963-05-07;;1993; Russia;M;
Makogonov, Vladimir;;1904-08-27;1993-01-02;1987; Soviet Union;M;Di Felice
Maksimenko, Andrei;14100584;1969-12-07;;1995; Ukraine;M;
Malakhatko, Vadim;14104202;1977-03-22;;1999; Belgium;M;
Malakhov, Vladimir;4120787;1980-11-27;;1998; Russia;M;
Malaniuk, Vladimir;14100177;1957-07-21;2017-07-02;1987; Ukraine;M;FIDE
